datetime,lat,lon,country,city,pm2_5,pm10,no2,so2,o3,co,humidity,wind_speed,temperature
2025-10-30T22:10:05,31.59903044433395,66.59752736544624,AF,Khūgyāṉī,24.44,68.51,1.25,0.56,70.75,222.31,18,0.89,14.48
2025-10-30T22:10:04,-45.322353802026505,139.06599483261988,,,0.77,2.12,0.03,0.06,57.26,66.32,85,6.13,9.67
2025-10-30T22:10:03,37.33692594955036,-151.99197058537789,,,5.51,10.96,0.17,0.21,72.83,89.58,82,11.92,20.26
2025-10-30T22:10:02,-18.927856475040485,-11.848966927168533,,,1.21,4.56,0.03,0.06,55.07,71.24,79,7.42,20.14
2025-10-30T22:10:01,41.69601021726524,-137.98393474933326,,,5.53,20.93,0.35,0.51,72.65,88.92,92,15.72,18.06
2025-10-30T22:10:00,77.88433120123315,8.381925688676688,,,0.5,0.74,0.06,0.04,76.78,114.64,91,10.74,3.28
2025-10-30T22:09:59,-81.61905269571419,-116.83023158668757,,,0.5,0.5,0.0,0.0,38.71,62.73,78,6.92,-18.72
2025-10-30T22:09:58,1.6038262458790484,-8.091653417148791,,,4.15,17.77,0.22,0.38,56.14,89.02,84,6.72,25.06
2025-10-30T22:09:57,7.447041557103702,15.678161811025205,TD,Bogomia I,7.31,16.35,0.18,0.02,14.27,103.75,63,1.59,22.39
2025-10-30T22:09:56,20.85450086498743,-173.71434574097364,,,2.09,10.79,0.03,0.08,61.95,87.23,74,8.87,26.8
2025-10-30T22:09:55,-48.91195340705221,153.4867643924046,,,0.61,2.23,0.01,0.1,48.5,67.83,63,5.76,7.85
2025-10-30T22:09:54,-10.003011715937447,82.63994177533681,,,0.69,1.56,0.08,0.05,24.91,76.46,76,5.45,28.01
2025-10-30T22:09:53,65.16651895968786,-115.17794824010419,,,0.5,0.5,0.1,0.01,70.7,101.02,94,6.96,-3.21
2025-10-30T22:09:52,-83.53396247653964,30.046856016411624,,,0.5,0.5,0.0,0.0,32.03,53.19,79,9.14,-31.16
2025-10-30T22:09:51,-16.78786482821269,-86.20137017791865,,,1.81,6.59,0.01,0.18,36.45,72.49,76,7.51,18.3
2025-10-30T22:09:49,-21.662816199746672,108.04178139347312,,,1.09,4.37,0.05,0.14,60.63,68.15,69,5.59,20.32
2025-10-30T22:09:48,76.82729748076528,103.64764855983134,,,0.5,0.5,0.01,0.0,73.05,114.05,87,4.21,-13.84
2025-10-30T22:09:47,6.267301797510328,-30.90500081972121,,,0.5,0.96,0.22,0.02,30.13,108.97,78,3.5,27.05
2025-10-30T22:09:46,0.07901748244289308,174.38864281171692,,,1.01,2.23,0.01,0.05,31.43,69.42,78,4.98,27.4
2025-10-30T22:09:45,31.870876231360256,-2.2056826137701364,DZ,Béchar,23.0,83.56,1.04,0.06,53.41,96.06,31,3.3,21.18
2025-10-30T22:09:44,7.177059583652394,-55.503069938978626,,,1.39,5.54,0.81,0.61,33.08,109.26,76,7.46,27.9
2025-10-30T22:09:43,-19.4410698922853,-78.52342192195593,,,3.65,14.38,0.01,0.3,49.07,68.26,81,6.87,17.03
2025-10-30T22:09:42,-27.251852499003242,-143.16461136908956,,,1.34,2.61,0.02,0.08,41.25,74.7,86,5.06,21.11
2025-10-30T22:09:41,34.3473900122174,103.1091955327932,CN,Niba,10.7,11.59,12.35,1.43,50.89,84.0,85,1.46,-0.3
2025-10-30T22:09:40,5.708424214772819,85.4477141377123,,,1.13,4.98,0.05,0.05,30.53,86.29,86,3.89,25.94
2025-10-30T22:09:39,-4.808079545277565,-33.68524095631551,,,2.96,13.03,0.13,0.13,46.16,90.64,80,8.97,26.0
2025-10-30T22:09:38,-83.9077673817971,28.10605946101495,,,0.5,0.5,0.0,0.0,32.15,53.56,79,8.36,-30.49
2025-10-30T22:09:37,56.98233718368175,55.30893403154121,RU,Barda,0.6,0.8,1.85,0.86,52.06,139.87,78,2.93,4.61
2025-10-30T22:09:36,-83.53464542360818,33.28359383608816,,,0.5,0.5,0.0,0.0,31.38,53.22,80,9.02,-31.69
2025-10-30T22:09:35,8.44874225013416,-11.801274898926152,SL,Makeni,1.52,2.74,0.43,0.15,35.13,112.45,98,1.2,23.0
2025-10-30T22:09:34,44.141241520821865,38.77439789130776,RU,Starka,1.25,2.06,0.19,0.17,90.88,111.07,71,7.35,15.43
2025-10-30T22:09:33,31.00876760623757,-29.427016369931067,,,0.69,2.8,0.07,0.05,88.28,89.41,69,6.95,23.72
2025-10-30T22:09:32,-0.46174011337733134,-156.81506461617408,,,3.22,16.73,0.01,0.16,60.12,75.43,75,7.06,25.93
2025-10-30T22:09:31,-78.77170437032302,156.05313086864322,,,0.5,0.5,0.0,0.0,41.31,59.33,68,8.37,-26.61
2025-10-30T22:09:30,-51.286307820871585,169.4774762862291,,,0.72,3.52,0.0,0.08,50.8,67.0,65,13.66,4.01
2025-10-30T22:09:29,-34.52568997121318,-167.68738639110438,,,2.23,8.11,0.04,0.21,51.71,63.98,84,8.37,16.11
2025-10-30T22:09:28,73.40029344132319,-22.54075785549233,,,0.5,0.69,0.03,0.01,88.51,107.07,70,2.19,-9.98
2025-10-30T22:09:27,-35.51091542384796,176.6934298965512,,,0.55,1.62,0.32,0.2,46.03,65.0,67,6.95,15.65
2025-10-30T22:09:26,13.471088879735419,13.272992391121733,NG,Kukawa,55.83,186.57,3.61,0.48,38.82,257.75,21,3.63,26.7
2025-10-30T22:09:25,-29.700784923886893,112.36976119107402,,,1.35,5.47,0.05,0.22,58.73,69.87,69,6.68,18.73
2025-10-30T22:09:24,89.81757711888142,-82.45001682889294,,,0.5,0.56,0.0,0.06,64.42,110.8,94,5.96,-12.29
2025-10-30T22:09:23,-47.99600140572536,94.23418238374086,,,0.71,2.93,0.01,0.09,49.44,67.28,80,10.6,5.45
2025-10-30T22:09:22,-10.452513562302556,-137.64825905263848,,,0.59,3.24,0.01,0.07,57.37,70.04,75,6.99,25.82
2025-10-30T22:09:21,-82.49166251960149,-94.4249678441467,,,0.5,0.5,0.0,0.0,36.11,56.29,99,2.15,-33.57
2025-10-30T22:09:20,34.23069985875287,-164.3696323252844,,,5.91,18.71,0.16,0.24,67.25,91.66,70,8.13,21.68
2025-10-30T22:09:19,86.05370364446165,111.75426885755303,,,0.64,3.16,0.0,0.08,76.91,109.85,88,8.61,-9.87
2025-10-30T22:09:18,-17.805493396086987,-75.17938553593237,,,4.06,12.83,0.04,0.27,52.53,68.98,77,5.66,17.79
2025-10-30T22:09:17,-45.81725771465,118.78405890118682,,,2.32,4.97,0.02,0.12,49.75,64.66,89,15.95,10.08
2025-10-30T22:09:16,73.02175557618563,29.026856796326342,,,0.5,0.82,0.41,0.14,68.71,116.41,80,12.68,5.13
2025-10-30T22:09:15,14.056568007848497,174.20348121368204,,,1.74,8.22,0.01,0.1,49.86,80.79,77,7.7,27.74
2025-10-30T22:09:14,-53.86151730030435,72.89133626854499,,,0.73,3.94,0.0,0.12,39.35,64.95,82,12.23,1.56
2025-10-30T22:09:13,-65.37987243699786,109.66399607592257,,,0.5,0.5,0.0,0.03,50.61,69.29,88,1.37,-8.94
2025-10-30T22:09:12,11.078610591663761,175.51665125766698,,,1.57,4.27,0.01,0.11,39.12,82.32,76,7.27,27.83
2025-10-30T22:09:11,36.88979493305277,-118.49869046732528,US,Big Pine,14.04,20.83,2.0,1.22,125.63,156.61,25,2.4,11.36
